group_name,auc_roc,auc_pr,precision,recall,f1,optimal_threshold,n_samples,n_positives,n_negatives,tp,fp,fn,tn,tool,depth,read,deam
CENTRIFUGE_depth1_read40_deam0.3,0.9974264705882353,0.836111111111111,0.6666666666666666,0.25,0.36363636363636365,1188.578947368421,348,8,340,2,1,6,339,CENTRIFUGE,1,40,0.3
CENTRIFUGE_depth1_read50_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,1188.3684210526317,348,8,340,4,0,4,340,CENTRIFUGE,1,50,0.0
CENTRIFUGE_depth1_read50_deam0.1,0.9974264705882353,0.8338789682539683,0.8,0.5,0.6153846153846154,1188.5263157894738,348,8,340,4,1,4,339,CENTRIFUGE,1,50,0.1
CENTRIFUGE_depth1_read50_deam0.2,0.9974264705882353,0.8338789682539682,0.75,0.375,0.5,1186.157894736842,348,8,340,3,1,5,339,CENTRIFUGE,1,50,0.2
CENTRIFUGE_depth1_read50_deam0.3,0.9974264705882353,0.8338789682539682,0.6666666666666666,0.25,0.36363636363636365,1187.0526315789473,348,8,340,2,1,6,339,CENTRIFUGE,1,50,0.3
CENTRIFUGE_depth1_read75_deam0.0,0.9970588235294118,0.7713789682539683,0.8,0.5,0.6153846153846154,1017.578947368421,348,8,340,4,1,4,339,CENTRIFUGE,1,75,0.0
CENTRIFUGE_depth1_read75_deam0.1,0.994485294117647,0.6979166666666667,0.8,0.5,0.6153846153846154,1225.9473684210527,348,8,340,4,1,4,339,CENTRIFUGE,1,75,0.1
CENTRIFUGE_depth1_read75_deam0.2,0.9933823529411765,0.6667478354978356,0.6666666666666666,0.25,0.36363636363636365,1301.578947368421,348,8,340,2,1,6,339,CENTRIFUGE,1,75,0.2
CENTRIFUGE_depth1_read75_deam0.3,0.9922794117647058,0.6201704545454545,0.5,0.125,0.2,1351.0526315789473,348,8,340,1,1,7,339,CENTRIFUGE,1,75,0.3
CENTRIFUGE_depth1_read100_deam0.0,0.9970588235294118,0.7713789682539682,0.8,0.5,0.6153846153846154,1028.2105263157894,348,8,340,4,1,4,339,CENTRIFUGE,1,100,0.0
CENTRIFUGE_depth1_read100_deam0.1,0.9948529411764706,0.7054924242424243,0.75,0.375,0.5,1230.157894736842,348,8,340,3,1,5,339,CENTRIFUGE,1,100,0.1
CENTRIFUGE_depth1_read100_deam0.2,0.994485294117647,0.6906114718614719,0.6666666666666666,0.25,0.36363636363636365,1314.9473684210527,348,8,340,2,1,6,339,CENTRIFUGE,1,100,0.2
CENTRIFUGE_depth1_read100_deam0.3,0.9920955882352941,0.6183056526806527,0.5,0.125,0.2,1355.7894736842106,348,8,340,1,1,7,339,CENTRIFUGE,1,100,0.3
CENTRIFUGE_depth2_read20_deam0.0,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,2,20,0.0
CENTRIFUGE_depth2_read20_deam0.1,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,2,20,0.1
CENTRIFUGE_depth2_read20_deam0.2,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,2,20,0.2
CENTRIFUGE_depth2_read20_deam0.3,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,2,20,0.3
CENTRIFUGE_depth2_read30_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,2377.7368421052633,348,8,340,4,0,4,340,CENTRIFUGE,2,30,0.0
CENTRIFUGE_depth2_read30_deam0.1,0.9974264705882352,0.8338789682539683,0.8,0.5,0.6153846153846154,2379.2631578947367,348,8,340,4,1,4,339,CENTRIFUGE,2,30,0.1
CENTRIFUGE_depth2_read30_deam0.2,0.9974264705882352,0.8338789682539683,0.75,0.375,0.5,2377.315789473684,348,8,340,3,1,5,339,CENTRIFUGE,2,30,0.2
CENTRIFUGE_depth2_read30_deam0.3,0.9974264705882353,0.8338789682539683,0.6666666666666666,0.25,0.36363636363636365,2380.0526315789475,348,8,340,2,1,6,339,CENTRIFUGE,2,30,0.3
CENTRIFUGE_depth2_read40_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,2375.315789473684,348,8,340,4,0,4,340,CENTRIFUGE,2,40,0.0
CENTRIFUGE_depth2_read40_deam0.1,0.9974264705882353,0.8338789682539683,0.8,0.5,0.6153846153846154,2375.0,348,8,340,4,1,4,339,CENTRIFUGE,2,40,0.1
CENTRIFUGE_depth2_read40_deam0.2,0.9974264705882354,0.8338789682539683,0.75,0.375,0.5,2374.4210526315787,348,8,340,3,1,5,339,CENTRIFUGE,2,40,0.2
CENTRIFUGE_depth2_read40_deam0.3,0.9974264705882353,0.8338789682539682,0.6666666666666666,0.25,0.36363636363636365,2375.2105263157896,348,8,340,2,1,6,339,CENTRIFUGE,2,40,0.3
CENTRIFUGE_depth2_read50_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,2374.0,348,8,340,4,0,4,340,CENTRIFUGE,2,50,0.0
CENTRIFUGE_depth2_read50_deam0.1,0.9974264705882353,0.8338789682539683,0.8,0.5,0.6153846153846154,2378.7894736842104,348,8,340,4,1,4,339,CENTRIFUGE,2,50,0.1
CENTRIFUGE_depth2_read50_deam0.3,0.9974264705882353,0.8338789682539683,0.6666666666666666,0.25,0.36363636363636365,2376.1052631578946,348,8,340,2,1,6,339,CENTRIFUGE,2,50,0.3
CENTRIFUGE_depth2_read75_deam0.0,0.9970588235294118,0.7713789682539682,0.8,0.5,0.6153846153846154,2042.2105263157894,348,8,340,4,1,4,339,CENTRIFUGE,2,75,0.0
CENTRIFUGE_depth2_read75_deam0.1,0.99375,0.6861742424242425,0.8,0.5,0.6153846153846154,2448.9473684210525,348,8,340,4,1,4,339,CENTRIFUGE,2,75,0.1
CENTRIFUGE_depth2_read75_deam0.2,0.9933823529411765,0.6667478354978355,0.6666666666666666,0.25,0.36363636363636365,2620.7368421052633,348,8,340,2,1,6,339,CENTRIFUGE,2,75,0.2
CENTRIFUGE_depth2_read75_deam0.3,0.9922794117647059,0.6201704545454546,0.5,0.125,0.2,2695.315789473684,348,8,340,1,1,7,339,CENTRIFUGE,2,75,0.3
CENTRIFUGE_depth2_read100_deam0.0,0.9970588235294118,0.7713789682539683,0.8,0.5,0.6153846153846154,2049.315789473684,348,8,340,4,1,4,339,CENTRIFUGE,2,100,0.0
CENTRIFUGE_depth2_read100_deam0.1,0.9948529411764706,0.7054924242424242,0.75,0.375,0.5,2463.0526315789475,348,8,340,3,1,5,339,CENTRIFUGE,2,100,0.1
CENTRIFUGE_depth2_read100_deam0.2,0.9944852941176471,0.6947781385281385,0.6666666666666666,0.25,0.36363636363636365,2633.0526315789475,348,8,340,2,1,6,339,CENTRIFUGE,2,100,0.2
CENTRIFUGE_depth2_read100_deam0.3,0.9926470588235294,0.630048076923077,0.5,0.125,0.2,2715.2631578947367,348,8,340,1,1,7,339,CENTRIFUGE,2,100,0.3
CENTRIFUGE_depth5_read20_deam0.0,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,5,20,0.0
CENTRIFUGE_depth5_read20_deam0.1,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,5,20,0.1
CENTRIFUGE_depth5_read20_deam0.2,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,5,20,0.2
CENTRIFUGE_depth5_read20_deam0.3,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,5,20,0.3
CENTRIFUGE_depth5_read30_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,5943.789473684211,348,8,340,4,0,4,340,CENTRIFUGE,5,30,0.0
CENTRIFUGE_depth5_read30_deam0.1,0.9974264705882353,0.8338789682539682,0.8,0.5,0.6153846153846154,5949.0526315789475,348,8,340,4,1,4,339,CENTRIFUGE,5,30,0.1
CENTRIFUGE_depth5_read30_deam0.2,0.9974264705882354,0.8338789682539683,0.75,0.375,0.5,5948.9473684210525,348,8,340,3,1,5,339,CENTRIFUGE,5,30,0.2
CENTRIFUGE_depth5_read30_deam0.3,0.9974264705882353,0.8338789682539683,0.6666666666666666,0.25,0.36363636363636365,5942.789473684211,348,8,340,2,1,6,339,CENTRIFUGE,5,30,0.3
CENTRIFUGE_depth5_read40_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,5938.894736842105,348,8,340,4,0,4,340,CENTRIFUGE,5,40,0.0
CENTRIFUGE_depth5_read40_deam0.1,0.9974264705882352,0.8338789682539683,0.8,0.5,0.6153846153846154,5934.8421052631575,348,8,340,4,1,4,339,CENTRIFUGE,5,40,0.1
CENTRIFUGE_depth5_read40_deam0.2,0.9974264705882353,0.8338789682539683,0.75,0.375,0.5,5935.736842105263,348,8,340,3,1,5,339,CENTRIFUGE,5,40,0.2
CENTRIFUGE_depth5_read40_deam0.3,0.9974264705882353,0.8361111111111111,0.6666666666666666,0.25,0.36363636363636365,5933.263157894737,348,8,340,2,1,6,339,CENTRIFUGE,5,40,0.3
CENTRIFUGE_depth5_read50_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,5944.263157894737,348,8,340,4,0,4,340,CENTRIFUGE,5,50,0.0
CENTRIFUGE_depth5_read50_deam0.1,0.9974264705882353,0.8338789682539683,0.8,0.5,0.6153846153846154,5943.210526315789,348,8,340,4,1,4,339,CENTRIFUGE,5,50,0.1
CENTRIFUGE_depth5_read50_deam0.2,0.9974264705882353,0.8338789682539683,0.75,0.375,0.5,5940.421052631579,348,8,340,3,1,5,339,CENTRIFUGE,5,50,0.2
CENTRIFUGE_depth5_read50_deam0.3,0.9974264705882354,0.8338789682539682,0.6666666666666666,0.25,0.36363636363636365,5943.0,348,8,340,2,1,6,339,CENTRIFUGE,5,50,0.3
CENTRIFUGE_depth5_read75_deam0.0,0.9970588235294118,0.7713789682539682,0.8,0.5,0.6153846153846154,5111.578947368421,348,8,340,4,1,4,339,CENTRIFUGE,5,75,0.0
CENTRIFUGE_depth5_read75_deam0.1,0.99375,0.681628787878788,0.8,0.5,0.6153846153846154,6125.0,348,8,340,4,1,4,339,CENTRIFUGE,5,75,0.1
CENTRIFUGE_depth5_read75_deam0.2,0.9933823529411765,0.6667478354978355,0.6666666666666666,0.25,0.36363636363636365,6573.1578947368425,348,8,340,2,1,6,339,CENTRIFUGE,5,75,0.2
CENTRIFUGE_depth5_read75_deam0.3,0.9919117647058824,0.6137601981351981,0.5,0.125,0.2,6757.105263157895,348,8,340,1,1,7,339,CENTRIFUGE,5,75,0.3
CENTRIFUGE_depth5_read100_deam0.0,0.9970588235294117,0.7713789682539683,0.8,0.5,0.6153846153846154,5118.0,348,8,340,4,1,4,339,CENTRIFUGE,5,100,0.0
CENTRIFUGE_depth5_read100_deam0.1,0.9948529411764706,0.7054924242424242,0.75,0.375,0.5,6143.526315789473,348,8,340,3,1,5,339,CENTRIFUGE,5,100,0.1
CENTRIFUGE_depth5_read100_deam0.2,0.9944852941176471,0.6906114718614719,0.6666666666666666,0.25,0.36363636363636365,6579.368421052632,348,8,340,2,1,6,339,CENTRIFUGE,5,100,0.2
CENTRIFUGE_depth5_read100_deam0.3,0.9920955882352941,0.6154647435897436,0.5,0.125,0.2,6768.8421052631575,348,8,340,1,1,7,339,CENTRIFUGE,5,100,0.3
CENTRIFUGE_depth10_read20_deam0.0,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,10,20,0.0
CENTRIFUGE_depth10_read20_deam0.1,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,10,20,0.1
CENTRIFUGE_depth10_read20_deam0.2,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,10,20,0.2
CENTRIFUGE_depth10_read20_deam0.3,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,10,20,0.3
CENTRIFUGE_depth10_read30_deam0.0,0.9985294117647059,0.931795634920635,1.0,0.5,0.6666666666666666,11893.157894736842,348,8,340,4,0,4,340,CENTRIFUGE,10,30,0.0
CENTRIFUGE_depth10_read30_deam0.1,0.9974264705882353,0.8338789682539683,0.8,0.5,0.6153846153846154,11887.368421052632,348,8,340,4,1,4,339,CENTRIFUGE,10,30,0.1
CENTRIFUGE_depth10_read30_deam0.2,0.9974264705882353,0.8338789682539682,0.75,0.375,0.5,11901.526315789473,348,8,340,3,1,5,339,CENTRIFUGE,10,30,0.2
CENTRIFUGE_depth10_read30_deam0.3,0.9974264705882353,0.8338789682539682,0.6666666666666666,0.25,0.36363636363636365,11895.368421052632,348,8,340,2,1,6,339,CENTRIFUGE,10,30,0.3
CENTRIFUGE_depth10_read40_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,11869.421052631578,348,8,340,4,0,4,340,CENTRIFUGE,10,40,0.0
CENTRIFUGE_depth10_read40_deam0.1,0.9974264705882352,0.8338789682539683,0.8,0.5,0.6153846153846154,11868.842105263158,348,8,340,4,1,4,339,CENTRIFUGE,10,40,0.1
CENTRIFUGE_depth10_read40_deam0.2,0.9974264705882353,0.8338789682539683,0.75,0.375,0.5,11881.842105263158,348,8,340,3,1,5,339,CENTRIFUGE,10,40,0.2
CENTRIFUGE_depth10_read40_deam0.3,0.9974264705882353,0.8338789682539683,0.6666666666666666,0.25,0.36363636363636365,11872.368421052632,348,8,340,2,1,6,339,CENTRIFUGE,10,40,0.3
CENTRIFUGE_depth10_read50_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,11879.526315789473,348,8,340,4,0,4,340,CENTRIFUGE,10,50,0.0
CENTRIFUGE_depth10_read50_deam0.1,0.9974264705882353,0.8338789682539682,0.8,0.5,0.6153846153846154,11881.421052631578,348,8,340,4,1,4,339,CENTRIFUGE,10,50,0.1
CENTRIFUGE_depth10_read50_deam0.2,0.9974264705882352,0.8338789682539683,0.75,0.375,0.5,11886.736842105263,348,8,340,3,1,5,339,CENTRIFUGE,10,50,0.2
CENTRIFUGE_depth10_read50_deam0.3,0.9974264705882354,0.8338789682539682,0.6666666666666666,0.25,0.36363636363636365,11882.157894736842,348,8,340,2,1,6,339,CENTRIFUGE,10,50,0.3
CENTRIFUGE_depth10_read75_deam0.0,0.9970588235294118,0.7713789682539683,0.8,0.5,0.6153846153846154,10186.105263157895,348,8,340,4,1,4,339,CENTRIFUGE,10,75,0.0
CENTRIFUGE_depth10_read75_deam0.1,0.9941176470588236,0.6899621212121213,0.8,0.5,0.6153846153846154,12251.421052631578,348,8,340,4,1,4,339,CENTRIFUGE,10,75,0.1
CENTRIFUGE_depth10_read75_deam0.2,0.9933823529411765,0.6667478354978356,0.6666666666666666,0.25,0.36363636363636365,13129.526315789473,348,8,340,2,1,6,339,CENTRIFUGE,10,75,0.2
CENTRIFUGE_depth10_read75_deam0.3,0.9922794117647058,0.6201704545454546,0.5,0.125,0.2,13535.947368421053,348,8,340,1,1,7,339,CENTRIFUGE,10,75,0.3
CENTRIFUGE_depth10_read100_deam0.0,0.9970588235294118,0.7713789682539683,0.8,0.5,0.6153846153846154,10255.473684210527,348,8,340,4,1,4,339,CENTRIFUGE,10,100,0.0
CENTRIFUGE_depth10_read100_deam0.1,0.9948529411764706,0.7054924242424243,0.75,0.375,0.5,12281.263157894737,348,8,340,3,1,5,339,CENTRIFUGE,10,100,0.1
CENTRIFUGE_depth10_read100_deam0.2,0.994485294117647,0.6906114718614719,0.6666666666666666,0.25,0.36363636363636365,13160.578947368422,348,8,340,2,1,6,339,CENTRIFUGE,10,100,0.2
CENTRIFUGE_depth10_read100_deam0.3,0.9922794117647059,0.6220935314685314,0.5,0.125,0.2,13543.21052631579,348,8,340,1,1,7,339,CENTRIFUGE,10,100,0.3
CENTRIFUGE_depth20_read20_deam0.0,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,20,20,0.0
CENTRIFUGE_depth20_read20_deam0.1,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,20,20,0.1
CENTRIFUGE_depth20_read20_deam0.2,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,20,20,0.2
CENTRIFUGE_depth20_read20_deam0.3,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,20,20,0.3
CENTRIFUGE_depth20_read30_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,23788.684210526317,348,8,340,4,0,4,340,CENTRIFUGE,20,30,0.0
CENTRIFUGE_depth20_read30_deam0.1,0.9974264705882353,0.8338789682539682,0.8,0.5,0.6153846153846154,23789.473684210527,348,8,340,4,1,4,339,CENTRIFUGE,20,30,0.1
CENTRIFUGE_depth20_read30_deam0.2,0.9974264705882353,0.8338789682539683,0.75,0.375,0.5,23787.842105263157,348,8,340,3,1,5,339,CENTRIFUGE,20,30,0.2
CENTRIFUGE_depth20_read30_deam0.3,0.9974264705882354,0.8338789682539683,0.6666666666666666,0.25,0.36363636363636365,23784.0,348,8,340,2,1,6,339,CENTRIFUGE,20,30,0.3
CENTRIFUGE_depth20_read40_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,23752.105263157893,348,8,340,4,0,4,340,CENTRIFUGE,20,40,0.0
CENTRIFUGE_depth20_read40_deam0.1,0.9974264705882353,0.8338789682539683,0.8,0.5,0.6153846153846154,23747.842105263157,348,8,340,4,1,4,339,CENTRIFUGE,20,40,0.1
CENTRIFUGE_depth20_read40_deam0.2,0.9974264705882353,0.8338789682539683,0.75,0.375,0.5,23751.842105263157,348,8,340,3,1,5,339,CENTRIFUGE,20,40,0.2
CENTRIFUGE_depth20_read40_deam0.3,0.9974264705882352,0.8338789682539683,0.6666666666666666,0.25,0.36363636363636365,23757.0,348,8,340,2,1,6,339,CENTRIFUGE,20,40,0.3
CENTRIFUGE_depth20_read50_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,23757.473684210527,348,8,340,4,0,4,340,CENTRIFUGE,20,50,0.0
CENTRIFUGE_depth20_read50_deam0.1,0.9974264705882354,0.8338789682539682,0.8,0.5,0.6153846153846154,23754.315789473683,348,8,340,4,1,4,339,CENTRIFUGE,20,50,0.1
CENTRIFUGE_depth20_read50_deam0.2,0.9974264705882352,0.8338789682539683,0.75,0.375,0.5,95003.57894736843,348,8,340,3,1,5,339,CENTRIFUGE,20,50,0.2
CENTRIFUGE_depth20_read50_deam0.3,0.9974264705882353,0.8338789682539682,0.6666666666666666,0.25,0.36363636363636365,23757.947368421053,348,8,340,2,1,6,339,CENTRIFUGE,20,50,0.3
CENTRIFUGE_depth20_read75_deam0.0,0.9970588235294118,0.7713789682539682,0.8,0.5,0.6153846153846154,20486.052631578947,348,8,340,4,1,4,339,CENTRIFUGE,20,75,0.0
CENTRIFUGE_depth20_read75_deam0.1,0.9937499999999999,0.6816287878787879,0.8,0.5,0.6153846153846154,24479.0,348,8,340,4,1,4,339,CENTRIFUGE,20,75,0.1
CENTRIFUGE_depth20_read75_deam0.2,0.9933823529411765,0.6667478354978355,0.6666666666666666,0.25,0.36363636363636365,26255.21052631579,348,8,340,2,1,6,339,CENTRIFUGE,20,75,0.2
CENTRIFUGE_depth20_read75_deam0.3,0.9922794117647059,0.6201704545454545,0.5,0.125,0.2,27084.105263157893,348,8,340,1,1,7,339,CENTRIFUGE,20,75,0.3
CENTRIFUGE_depth20_read100_deam0.0,0.9970588235294118,0.7713789682539682,0.8,0.5,0.6153846153846154,20444.57894736842,348,8,340,4,1,4,339,CENTRIFUGE,20,100,0.0
CENTRIFUGE_depth20_read100_deam0.1,0.9948529411764706,0.7054924242424243,0.75,0.375,0.5,24575.42105263158,348,8,340,3,1,5,339,CENTRIFUGE,20,100,0.1
CENTRIFUGE_depth20_read100_deam0.2,0.994485294117647,0.6906114718614719,0.6666666666666666,0.25,0.36363636363636365,26349.315789473683,348,8,340,2,1,6,339,CENTRIFUGE,20,100,0.2
CENTRIFUGE_depth20_read100_deam0.3,0.9926470588235294,0.630048076923077,0.5,0.125,0.2,27085.842105263157,348,8,340,1,1,7,339,CENTRIFUGE,20,100,0.3
CENTRIFUGE_depth40_read20_deam0.0,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,40,20,0.0
CENTRIFUGE_depth40_read20_deam0.1,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,40,20,0.1
CENTRIFUGE_depth40_read20_deam0.2,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,40,20,0.2
CENTRIFUGE_depth40_read20_deam0.3,0.4985294117647059,0.022988505747126436,0.022988505747126436,1.0,0.0449438202247191,0.0,348,8,340,8,340,0,0,CENTRIFUGE,40,20,0.3
CENTRIFUGE_depth40_read30_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,47582.89473684211,348,8,340,4,0,4,340,CENTRIFUGE,40,30,0.0
CENTRIFUGE_depth40_read30_deam0.1,0.9974264705882353,0.8338789682539683,0.8,0.5,0.6153846153846154,47577.63157894737,348,8,340,4,1,4,339,CENTRIFUGE,40,30,0.1
CENTRIFUGE_depth40_read30_deam0.2,0.9974264705882353,0.8338789682539683,0.75,0.375,0.5,47583.15789473684,348,8,340,3,1,5,339,CENTRIFUGE,40,30,0.2
CENTRIFUGE_depth40_read30_deam0.3,0.9974264705882353,0.8338789682539683,0.6666666666666666,0.25,0.36363636363636365,47591.36842105263,348,8,340,2,1,6,339,CENTRIFUGE,40,30,0.3
CENTRIFUGE_depth40_read40_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,47481.31578947369,348,8,340,4,0,4,340,CENTRIFUGE,40,40,0.0
CENTRIFUGE_depth40_read40_deam0.1,0.9974264705882353,0.8338789682539682,0.8,0.5,0.6153846153846154,47498.57894736842,348,8,340,4,1,4,339,CENTRIFUGE,40,40,0.1
CENTRIFUGE_depth40_read40_deam0.2,0.9974264705882353,0.8338789682539682,0.75,0.375,0.5,47493.57894736842,348,8,340,3,1,5,339,CENTRIFUGE,40,40,0.2
CENTRIFUGE_depth40_read40_deam0.3,0.9974264705882353,0.8338789682539683,0.6666666666666666,0.25,0.36363636363636365,47493.0,348,8,340,2,1,6,339,CENTRIFUGE,40,40,0.3
CENTRIFUGE_depth40_read50_deam0.0,0.9985294117647059,0.9317956349206349,1.0,0.5,0.6666666666666666,47534.57894736842,348,8,340,4,0,4,340,CENTRIFUGE,40,50,0.0
CENTRIFUGE_depth40_read50_deam0.1,0.9974264705882353,0.8338789682539683,0.8,0.5,0.6153846153846154,47516.0,348,8,340,4,1,4,339,CENTRIFUGE,40,50,0.1
CENTRIFUGE_depth40_read50_deam0.2,0.9974264705882353,0.8338789682539683,0.75,0.375,0.5,47521.05263157895,348,8,340,3,1,5,339,CENTRIFUGE,40,50,0.2
CENTRIFUGE_depth40_read50_deam0.3,0.9974264705882352,0.8338789682539682,0.6666666666666666,0.25,0.36363636363636365,47516.47368421053,348,8,340,2,1,6,339,CENTRIFUGE,40,50,0.3
CENTRIFUGE_depth40_read75_deam0.0,0.9970588235294118,0.7713789682539683,0.8,0.5,0.6153846153846154,40962.42105263158,348,8,340,4,1,4,339,CENTRIFUGE,40,75,0.0
CENTRIFUGE_depth40_read75_deam0.1,0.9941176470588236,0.6899621212121213,0.8,0.5,0.6153846153846154,49014.89473684211,348,8,340,4,1,4,339,CENTRIFUGE,40,75,0.1
CENTRIFUGE_depth40_read75_deam0.2,0.9933823529411765,0.6667478354978356,0.6666666666666666,0.25,0.36363636363636365,52518.57894736842,348,8,340,2,1,6,339,CENTRIFUGE,40,75,0.2
CENTRIFUGE_depth40_read75_deam0.3,0.9922794117647059,0.6201704545454546,0.5,0.125,0.2,54119.0,348,8,340,1,1,7,339,CENTRIFUGE,40,75,0.3
CENTRIFUGE_depth40_read100_deam0.0,0.9970588235294118,0.7713789682539682,0.8,0.5,0.6153846153846154,41036.52631578947,348,8,340,4,1,4,339,CENTRIFUGE,40,100,0.0
CENTRIFUGE_depth40_read100_deam0.1,0.9948529411764706,0.7054924242424243,0.75,0.375,0.5,49199.10526315789,348,8,340,3,1,5,339,CENTRIFUGE,40,100,0.1
